datetime,hx_water_level,xfx_water_level,bottom_pressure,hx_pressure,xfx_pressure,water_demand,xj_pressure
2021/5/23 0:00,1.4,1.5,189,176,186,6348,249
2021/5/23 0:05,1.43,1.5,182,176,186,6648,250
2021/5/23 0:10,1.46,1.5,181,178,182,6287,241
2021/5/23 0:15,1.48,1.5,182,177,184,6019,241
2021/5/23 0:20,1.51,1.5,182,179,185,5928,240
2021/5/23 0:25,1.54,1.5,184,180,185,5875,240
2021/5/23 0:30,1.57,1.5,186,183,188,5810,240
2021/5/23 0:35,1.6,1.5,186,179,186,5723,240
2021/5/23 0:40,1.64,1.5,187,182,188,5649,241
2021/5/23 0:45,1.68,1.5,184,178,186,5526,241
2021/5/23 0:50,1.72,1.5,183,180,187,5676,240
2021/5/23 0:55,1.76,1.5,186,180,187,5633,240
2021/5/23 1:00,1.8,1.52,170,164,165,5612,239
2021/5/23 1:05,1.84,1.55,167,165,165,6563,242
2021/5/23 1:10,1.88,1.59,168,166,167,6708,240
2021/5/23 1:15,1.92,1.61,171,162,164,6615,240
2021/5/23 1:20,1.96,1.63,169,169,167,6644,241
2021/5/23 1:25,2,1.67,172,169,169,6510,240
2021/5/23 1:30,2.04,1.72,170,167,168,6512,240
2021/5/23 1:35,2.08,1.76,168,169,168,6549,240
2021/5/23 1:40,2.12,1.79,172,169,171,6471,240
2021/5/23 1:45,2.15,1.83,178,172,174,6471,241
2021/5/23 1:50,2.2,1.86,177,174,175,6322,240
2021/5/23 1:55,2.24,1.9,181,176,177,6207,241
2021/5/23 2:00,2.28,1.93,181,175,176,6070,240
2021/5/23 2:05,2.31,1.97,176,174,175,6135,241
2021/5/23 2:10,2.36,2.01,177,174,175,6166,240
2021/5/23 2:15,2.4,2.04,176,176,176,6201,240
2021/5/23 2:20,2.44,2.08,181,176,176,6106,240
2021/5/23 2:25,2.48,2.11,183,177,177,6057,240
2021/5/23 2:30,2.52,2.15,182,177,179,5989,240
2021/5/23 2:35,2.56,2.18,179,179,179,5950,240
2021/5/23 2:40,2.56,2.22,179,180,180,5899,240
2021/5/23 2:45,2.63,2.25,183,179,180,5825,241
2021/5/23 2:50,2.67,2.29,187,180,181,5796,240
