站点名称,站点ID,指令时间,复令时间,指令
华翔水库泵站,7008,2021/10/18  0:30:00,2021/10/18  0:30:00,进水
华翔水库泵站,7008,2021/10/18  5:30:00,2021/10/18  5:30:00,关水
华翔水库泵站,7008,2021/10/20  12:50:00,2021/10/20  12:50:00,进水
华翔水库泵站,7008,2021/10/20  16:00:00,2021/10/20  16:00:00,关水
华翔水库泵站,7008,2021/10/24  1:00:00,2021/10/24  1:00:00,进水
华翔水库泵站,7008,2021/10/24  7:00:00,2021/10/24  7:00:00,关水
华翔水库泵站,7008,2021/10/24  23:30:00,2021/10/24  23:30:00,进水
华翔水库泵站,7008,2021/10/25  5:30:00,2021/10/25  5:30:00,关水
华翔水库泵站,7008,2021/10/26  0:30:00,2021/10/26  0:30:00,进水
华翔水库泵站,7008,2021/10/26  6:00:00,2021/10/26  6:00:00,关水
华翔水库泵站,7008,2021/10/26  22:40:00,2021/10/26  22:40:00,进水
华翔水库泵站,7008,2021/10/27  5:20:00,2021/10/27  5:20:00,关水
华翔水库泵站,7008,2021/10/27  23:20:00,2021/10/27  23:20:00,进水
华翔水库泵站,7008,2021/10/28  5:10:00,2021/10/28  5:10:00,关水
华翔水库泵站,7008,2021/10/28  23:30:00,2021/10/28  23:30:00,进水
华翔水库泵站,7008,2021/10/29  5:30:00,2021/10/29  5:30:00,关水
华翔水库泵站,7008,2021/10/29  23:30:00,2021/10/29  23:30:00,进水
华翔水库泵站,7008,2021/10/30  5:30:00,2021/10/30  5:30:00,关水
华翔水库泵站,7008,2021/10/31  0:30:00,2021/10/31  0:30:00,进水
华翔水库泵站,7008,2021/10/31  6:00:00,2021/10/31  6:00:00,关水
华翔水库泵站,7008,2021/10/31  23:00:00,2021/10/31  23:00:00,进水
华翔水库泵站,7008,2021/11/01  5:00:00,2021/11/01  5:00:00,关水
华翔水库泵站,7008,2021/11/01  23:30:00,2021/11/01  23:30:00,进水
华翔水库泵站,7008,2021/11/02  5:00:00,2021/11/02  5:00:00,关水
华翔水库泵站,7008,2021/11/02  23:00:00,2021/11/02  23:00:00,进水
华翔水库泵站,7008,2021/11/03  5:20:00,2021/11/03  5:20:00,关水
华翔水库泵站,7008,2021/11/03  23:30:00,2021/11/03  23:30:00,进水
华翔水库泵站,7008,2021/11/04  5:30:00,2021/11/04  5:30:00,关水
华翔水库泵站,7008,2021/11/05  0:30:00,2021/11/05  0:30:00,进水
华翔水库泵站,7008,2021/11/05  6:00:00,2021/11/05  6:00:00,关水
华翔水库泵站,7008,2021/11/05  23:30:00,2021/11/05  23:30:00,进水
华翔水库泵站,7008,2021/11/06  5:10:00,2021/11/06  5:10:00,关水
华翔水库泵站,7008,2021/11/06  23:20:00,2021/11/06  23:20:00,进水
华翔水库泵站,7008,2021/11/07  5:30:00,2021/11/07  5:30:00,关水
华翔水库泵站,7008,2021/11/07  23:00:00,2021/11/07  23:00:00,进水
华翔水库泵站,7008,2021/11/08  5:30:00,2021/11/08  5:30:00,关水
华翔水库泵站,7008,2021/11/08  23:00:00,2021/11/08  23:00:00,进水
华翔水库泵站,7008,2021/11/09  5:40:00,2021/11/09  5:40:00,关水
华翔水库泵站,7008,2021/11/09  23:30:00,2021/11/09  23:30:00,进水
华翔水库泵站,7008,2021/11/10  5:00:00,2021/11/10  5:00:00,关水
华翔水库泵站,7008,2021/11/11  0:00:00,2021/11/11  0:00:00,进水
华翔水库泵站,7008,2021/11/11  6:00:00,2021/11/11  6:00:00,关水
华翔水库泵站,7008,2021/11/11  23:10:00,2021/11/11  23:10:00,进水
华翔水库泵站,7008,2021/11/12  5:20:00,2021/11/12  5:20:00,关水
华翔水库泵站,7008,2021/11/12  23:30:00,2021/11/12  23:30:00,进水
华翔水库泵站,7008,2021/11/13  5:30:00,2021/11/13  5:30:00,关水
华翔水库泵站,7008,2021/11/13  23:00:00,2021/11/13  23:00:00,进水
华翔水库泵站,7008,2021/11/14  5:30:00,2021/11/14  5:30:00,关水
华翔水库泵站,7008,2021/11/14  23:30:00,2021/11/14  23:30:00,进水
华翔水库泵站,7008,2021/11/15  5:00:00,2021/11/15  5:00:00,关水
华翔水库泵站,7008,2021/11/16  0:00:00,2021/11/16  0:00:00,进水
华翔水库泵站,7008,2021/11/16  6:00:00,2021/11/16  6:00:00,关水
华翔水库泵站,7008,2021/11/17  23:40:00,2021/11/17  23:40:00,进水
华翔水库泵站,7008,2021/11/18  5:30:00,2021/11/18  5:30:00,关水
华翔水库泵站,7008,2021/11/18  23:20:00,2021/11/18  23:20:00,进水
