datetime,hx_water_level,xfx_water_level,bottom_pressure,hx_pressure,xfx_pressure,water_demand,xj_pressure
2021/10/16 12:00,4.32,2.77,206,254,246,7351,263
2021/10/16 12:05,4.32,2.76,217,255,249,7202,266
2021/10/16 12:10,4.32,2.77,205,255,246,7248,264
2021/10/16 12:15,4.32,2.77,216,260,252,7199,266
2021/10/16 12:20,4.32,2.77,193,184,237,7197,264
2021/10/16 12:25,4.32,2.77,185,182,224,7430,253
2021/10/16 12:30,4.32,2.77,185,183,227,7390,255
2021/10/16 12:35,4.32,2.76,193,185,228,7382,256
2021/10/16 12:40,4.32,2.77,178,177,180,7403,253
2021/10/16 12:45,4.32,2.76,173,176,180,7464,254
2021/10/16 12:50,4.32,2.77,170,178,178,7434,253
2021/10/16 12:55,4.32,2.77,171,177,178,7416,252
2021/10/16 13:00,4.33,2.77,169,178,179,7496,252
2021/10/16 13:05,4.33,2.77,167,179,179,7454,251
2021/10/16 13:10,4.33,2.77,174,177,181,7427,254
2021/10/16 13:15,4.33,2.77,173,177,179,7408,254
2021/10/16 13:20,4.33,2.77,166,178,180,7471,253
2021/10/16 13:25,4.33,2.77,173,181,181,7451,254
2021/10/16 13:30,4.33,2.77,175,183,184,7390,257
2021/10/16 13:35,4.33,2.77,174,178,181,7402,255
2021/10/16 13:40,4.33,2.77,179,182,184,7418,255
2021/10/16 13:45,4.32,2.77,181,179,184,7397,257
2021/10/16 13:50,4.33,2.77,177,180,187,7365,259
2021/10/16 13:55,4.33,2.77,187,182,189,7357,260
2021/10/16 14:00,4.33,2.77,180,183,190,7313,260
2021/10/16 14:05,4.33,2.77,183,183,189,7350,260
2021/10/16 14:10,4.33,2.77,182,185,188,7316,259
2021/10/16 14:15,4.33,2.77,182,186,189,7364,260
2021/10/16 14:20,4.33,2.77,177,187,188,7317,260
2021/10/16 14:25,4.33,2.77,193,184,190,7391,260
2021/10/16 14:30,4.33,2.77,181,185,189,7304,261
2021/10/16 14:35,4.33,2.77,187,184,190,7306,261
2021/10/16 14:40,4.33,2.77,183,188,193,7295,263
2021/10/16 14:45,4.33,2.77,184,190,193,7265,263
2021/10/16 14:50,4.33,2.77,189,193,194,7244,263
2021/10/16 14:55,4.33,2.77,187,193,197,7230,265
2021/10/16 15:00,4.33,2.77,187,193,193,7210,264
2021/10/16 15:05,4.33,2.77,189,189,192,7248,262
2021/10/16 15:10,4.34,2.77,182,186,188,7304,260
2021/10/16 15:15,4.34,2.76,178,184,188,7284,260
2021/10/16 15:20,4.34,2.77,178,188,189,7300,261
2021/10/16 15:25,4.33,2.77,186,188,189,7315,261
2021/10/16 15:30,4.34,2.77,188,187,191,7260,262
2021/10/16 15:35,4.34,2.77,185,190,192,7283,262
2021/10/16 15:40,4.34,2.77,185,187,190,7269,262
2021/10/16 15:45,4.34,2.77,180,187,189,7309,260
2021/10/16 15:50,4.34,2.77,179,185,188,7334,261
2021/10/16 15:55,4.34,2.77,175,184,186,7405,259
2021/10/16 16:00,4.34,2.77,180,179,185,7439,258
2021/10/16 16:05,4.34,2.77,169,177,182,7466,255
2021/10/16 16:10,4.34,2.77,170,176,181,7515,255
2021/10/16 16:15,4.34,2.77,169,175,176,7483,254
2021/10/16 16:20,4.34,2.77,173,174,179,7559,254
2021/10/16 16:25,4.34,2.77,178,182,183,7509,256
2021/10/16 16:30,4.34,2.77,175,179,183,7491,257
2021/10/16 16:35,4.3,2.77,180,198,191,7404,261
2021/10/16 16:40,4.25,2.77,186,196,190,7302,261
2021/10/16 16:45,4.2,2.77,179,195,188,7329,261
2021/10/16 16:50,4.15,2.77,169,196,183,7446,257
2021/10/16 16:55,4.1,2.77,183,199,184,7436,258
2021/10/16 17:00,4.05,2.77,176,195,181,7490,256
2021/10/16 17:05,4,2.77,178,194,180,7515,256
2021/10/16 17:10,3.95,2.77,171,194,176,7523,253
2021/10/16 17:15,3.9,2.77,169,193,176,7523,254
2021/10/16 17:20,3.85,2.77,160,189,175,7556,253
2021/10/16 17:25,3.79,2.77,162,187,176,7556,253
2021/10/16 17:30,3.74,2.77,172,186,174,7550,253
2021/10/16 17:35,3.69,2.77,174,195,180,7511,257
2021/10/16 17:40,3.64,2.77,167,198,180,7508,258
2021/10/16 17:45,3.59,2.77,170,198,179,7480,256
2021/10/16 17:50,3.54,2.77,179,187,180,7444,254
2021/10/16 17:55,3.49,2.77,167,195,180,7526,258
2021/10/16 18:00,3.44,2.77,174,196,183,7466,260
2021/10/16 18:05,3.39,2.77,186,201,184,7453,261
2021/10/16 18:10,3.35,2.77,178,197,184,7419,260
2021/10/16 18:15,3.3,2.77,181,202,185,7419,260
