datetime,hx_water_level,xfx_water_level,bottom_pressure,hx_pressure,xfx_pressure,water_demand,xj_pressure
2021/8/31 0:00,1.49,1.49,178,171,183,7141,250
2021/8/31 0:05,1.52,1.49,185,170,185,7020,250
2021/8/31 0:10,1.55,1.49,188,172,186,6965,250
2021/8/31 0:15,1.58,1.49,189,175,189,6778,250
2021/8/31 0:20,1.61,1.49,183,179,190,6602,249
2021/8/31 0:25,1.63,1.49,185,175,191,6549,250
2021/8/31 0:30,1.67,1.49,190,178,191,6486,249
2021/8/31 0:35,1.7,1.49,192,177,189,6456,250
2021/8/31 0:40,1.74,1.49,187,177,192,6555,250
2021/8/31 0:45,1.77,1.49,188,176,191,6423,251
2021/8/31 0:50,1.81,1.49,195,179,194,6384,250
2021/8/31 0:55,1.85,1.49,199,180,196,6305,251
2021/8/31 1:00,1.88,1.49,190,181,182,6176,248
2021/8/31 1:05,1.91,1.53,180,178,180,6815,251
2021/8/31 1:10,1.95,1.56,187,180,182,6742,251
2021/8/31 1:15,1.98,1.6,184,179,182,6585,249
2021/8/31 1:20,2.02,1.63,181,178,182,6632,250
2021/8/31 1:25,2.05,1.66,188,180,186,6578,250
2021/8/31 1:30,2.09,1.7,188,180,183,6504,250
2021/8/31 1:35,2.13,1.73,192,179,184,6539,249
2021/8/31 1:40,2.18,1.77,185,175,184,6584,249
2021/8/31 1:45,2.23,1.81,189,185,188,6509,250
2021/8/31 1:50,2.28,1.84,192,188,189,6277,250
2021/8/31 1:55,2.32,1.87,198,189,190,6129,250
2021/8/31 2:00,2.37,1.91,197,191,192,6130,251
2021/8/31 2:05,2.42,1.95,190,189,190,6053,250
2021/8/31 2:10,2.48,1.98,194,188,189,6124,250
2021/8/31 2:15,2.52,2.01,195,191,191,6068,251
2021/8/31 2:20,2.57,2.05,201,192,193,6009,250
2021/8/31 2:25,2.63,2.09,201,195,194,5876,250
2021/8/31 2:30,2.68,2.12,193,196,195,5785,250
2021/8/31 2:35,2.72,2.16,195,195,195,5737,250
2021/8/31 2:40,2.77,2.19,198,197,195,5718,250
2021/8/31 2:45,2.83,2.23,203,198,196,5574,251
2021/8/31 2:50,2.88,2.26,201,198,196,5646,251
2021/8/31 2:55,2.92,2.3,197,197,197,5529,249
2021/8/31 3:00,2.98,2.33,199,195,197,5556,250
2021/8/31 3:05,3.03,2.37,200,197,194,5561,249
2021/8/31 3:10,3.08,2.41,202,196,194,5651,250
2021/8/31 3:15,3.13,2.45,201,198,194,5686,250
2021/8/31 3:20,3.17,2.49,199,199,195,5561,251
2021/8/31 3:25,3.23,2.53,197,201,196,5536,250
2021/8/31 3:30,3.28,2.56,198,198,196,5491,251
2021/8/31 3:35,3.33,2.6,202,198,195,5565,248
2021/8/31 3:40,3.38,2.64,204,202,196,5476,249
2021/8/31 3:45,3.43,2.68,198,201,197,5396,251
2021/8/31 3:50,3.48,2.72,200,201,198,5296,250
2021/8/31 3:55,3.53,2.76,196,202,194,5364,251
2021/8/31 4:00,3.58,2.8,198,200,194,5435,250
2021/8/31 4:05,3.63,2.85,199,202,193,5521,251
2021/8/31 4:10,3.68,2.89,199,199,194,5601,249
2021/8/31 4:15,3.73,2.93,197,200,195,5468,251
2021/8/31 4:20,3.78,2.97,197,199,194,5477,249
2021/8/31 4:25,3.83,3.01,198,193,193,5564,249
2021/8/31 4:30,3.88,3.06,203,200,195,5519,251
2021/8/31 4:35,3.93,3.1,195,198,193,5504,250
2021/8/31 4:40,3.98,3.14,193,198,192,5498,250
2021/8/31 4:45,4.03,3.18,196,197,191,5490,249
2021/8/31 4:50,4.08,3.22,197,195,191,5608,250
2021/8/31 4:55,4.13,3.27,197,196,190,5662,250
2021/8/31 5:00,4.18,3.31,193,195,187,5795,251
2021/8/31 5:05,4.23,3.35,186,190,184,6027,250
2021/8/31 5:10,4.27,3.39,193,194,196,6208,250
2021/8/31 5:15,4.28,3.41,193,193,189,5951,250
2021/8/31 5:20,4.29,3.44,191,190,186,6326,249
2021/8/31 5:25,4.3,3.46,183,188,191,6559,249
2021/8/31 5:30,4.3,3.48,185,196,186,6439,250
2021/8/31 5:35,4.3,3.49,183,188,183,6528,249
2021/8/31 5:40,4.3,3.5,190,186,189,6599,250
2021/8/31 5:45,4.3,3.5,190,188,187,6714,250
2021/8/31 5:50,4.31,3.51,185,185,187,6651,250
2021/8/31 5:55,4.31,3.51,178,190,185,6754,251
2021/8/31 6:00,4.31,3.5,177,190,187,6464,250
2021/8/31 6:05,4.31,3.51,178,185,185,6508,250
2021/8/31 6:10,4.31,3.51,199,257,199,6661,251
2021/8/31 6:15,4.31,3.51,195,266,197,6358,250
2021/8/31 6:20,4.31,3.51,212,257,246,6727,250
2021/8/31 6:25,4.31,3.51,201,261,243,6585,251
2021/8/31 6:30,4.31,3.51,197,254,242,6671,250
2021/8/31 6:35,4.31,3.51,197,252,238,6759,250
2021/8/31 6:40,4.31,3.51,194,248,234,7088,250
2021/8/31 6:45,4.31,3.51,192,248,233,7260,250
2021/8/31 6:50,4.31,3.51,199,244,229,7252,249
2021/8/31 6:55,4.31,3.51,194,246,227,7424,250
2021/8/31 7:00,4.31,3.51,181,234,225,7548,249
2021/8/31 7:05,4.31,3.51,181,233,221,7874,250
2021/8/31 7:10,4.31,3.51,181,229,213,8049,246
2021/8/31 7:15,4.31,3.51,179,239,215,7967,250
2021/8/31 7:20,4.31,3.51,170,232,214,8003,248
2021/8/31 7:25,4.31,3.51,171,233,212,7978,249
2021/8/31 7:30,4.31,3.51,170,233,209,7950,248
2021/8/31 7:35,4.31,3.51,167,230,209,7993,248
2021/8/31 7:40,4.31,3.51,163,224,208,7969,248
2021/8/31 7:45,4.31,3.51,171,227,209,7987,248
2021/8/31 7:50,4.31,3.49,187,236,261,7843,251
2021/8/31 7:55,4.31,3.46,178,228,256,7860,250
2021/8/31 8:00,4.31,3.43,176,226,256,7983,249
2021/8/31 8:05,4.31,3.4,191,237,262,7905,250
2021/8/31 8:10,4.31,3.36,186,232,260,7782,250
2021/8/31 8:15,4.31,3.33,176,233,260,7894,249
2021/8/31 8:20,4.31,3.3,201,237,264,7879,250
2021/8/31 8:25,4.31,3.27,192,239,265,7690,250
2021/8/31 8:30,4.31,3.24,187,243,266,7677,252
2021/8/31 8:35,4.31,3.21,206,241,265,7541,250
2021/8/31 8:40,4.31,3.18,187,248,268,7494,250
2021/8/31 8:45,4.32,3.15,190,239,264,7449,250
2021/8/31 8:50,4.32,3.12,209,244,269,7408,253
2021/8/31 8:55,4.32,3.09,209,233,268,7312,249
2021/8/31 9:00,4.32,3.06,195,242,267,7371,251
2021/8/31 9:05,4.32,3.03,200,239,269,7370,250
2021/8/31 9:10,4.32,3.01,206,235,269,7422,250
2021/8/31 9:15,4.32,2.97,191,235,270,7347,250
2021/8/31 9:20,4.32,2.95,217,240,271,7294,251
2021/8/31 9:25,4.32,2.92,196,245,272,7137,251
2021/8/31 9:30,4.32,2.9,179,235,220,6984,249
2021/8/31 9:35,4.32,2.9,199,236,229,7569,251
2021/8/31 9:40,4.32,2.9,180,241,230,7425,250
2021/8/31 9:45,4.32,2.9,195,239,230,7403,251
2021/8/31 9:50,4.32,2.9,194,242,229,7438,250
2021/8/31 9:55,4.32,2.9,190,237,229,7289,250
2021/8/31 10:00,4.32,2.9,196,242,231,7397,249
2021/8/31 10:05,4.32,2.9,185,238,230,7365,248
2021/8/31 10:10,4.32,2.9,197,244,233,7385,250
2021/8/31 10:15,4.32,2.9,197,246,233,7196,251
2021/8/31 10:20,4.32,2.9,189,244,233,7112,250
2021/8/31 10:25,4.32,2.9,196,244,233,7135,250
2021/8/31 10:30,4.32,2.9,198,245,234,7196,250
2021/8/31 10:35,4.32,2.9,192,251,236,7077,250
2021/8/31 10:40,4.32,2.9,200,245,236,7009,249
2021/8/31 10:45,4.32,2.9,201,240,236,7102,250
2021/8/31 10:50,4.32,2.9,200,245,237,7099,250
2021/8/31 10:55,4.32,2.9,188,239,231,7150,250
2021/8/31 11:00,4.32,2.9,191,246,235,7092,250
2021/8/31 11:05,4.32,2.9,196,240,234,7093,249
2021/8/31 11:10,4.32,2.9,196,236,232,7306,249
2021/8/31 11:15,4.32,2.9,191,236,233,7293,249
2021/8/31 11:20,4.32,2.9,184,232,229,7319,250
2021/8/31 11:25,4.32,2.9,191,232,231,7361,250
2021/8/31 11:30,4.32,2.9,194,234,229,7283,250
2021/8/31 11:35,4.32,2.9,192,233,229,7350,253
2021/8/31 11:40,4.32,2.9,184,244,232,7418,250
2021/8/31 11:45,4.33,2.9,195,235,232,7373,249
2021/8/31 11:50,4.32,2.9,201,237,235,7315,250
2021/8/31 11:55,4.33,2.9,190,235,234,7291,249
2021/8/31 12:00,4.33,2.9,201,238,234,7294,251
2021/8/31 12:05,4.33,2.9,197,239,235,7261,249
2021/8/31 12:10,4.33,2.9,202,242,236,7197,250
2021/8/31 12:15,4.33,2.9,204,243,235,7163,251
2021/8/31 12:20,4.33,2.9,202,239,240,7063,252
2021/8/31 12:25,4.33,2.9,201,239,238,7015,250
2021/8/31 12:30,4.33,2.9,198,240,239,6983,251
2021/8/31 12:35,4.33,2.9,205,241,240,6979,250
2021/8/31 12:40,4.33,2.9,208,245,240,7037,251
2021/8/31 12:45,4.33,2.9,201,246,244,6825,249
2021/8/31 12:50,4.33,2.9,217,251,245,6629,250
2021/8/31 12:55,4.33,2.9,207,250,246,6447,250
2021/8/31 13:00,4.33,2.9,212,239,242,6709,250
2021/8/31 13:05,4.33,2.9,202,239,241,6679,251
2021/8/31 13:10,4.33,2.9,204,240,243,6703,249
2021/8/31 13:15,4.33,2.9,210,244,247,6550,250
2021/8/31 13:20,4.33,2.9,207,240,244,6546,250
2021/8/31 13:25,4.33,2.9,203,238,244,6501,251
2021/8/31 13:30,4.33,2.9,207,237,247,6590,250
2021/8/31 13:35,4.33,2.9,204,239,244,6407,251
2021/8/31 13:40,4.33,2.9,207,238,247,6552,251
2021/8/31 13:45,4.33,2.9,200,238,246,6459,251
2021/8/31 13:50,4.33,2.9,210,242,249,6402,249
2021/8/31 13:55,4.33,2.9,210,242,250,6150,248
2021/8/31 14:00,4.33,2.9,206,240,247,6165,250
2021/8/31 14:05,4.33,2.9,216,238,248,6217,250
2021/8/31 14:10,4.33,2.9,218,233,250,6284,250
2021/8/31 14:15,4.33,2.9,211,234,249,6289,250
2021/8/31 14:20,4.33,2.9,215,245,253,6247,250
2021/8/31 14:25,4.34,2.9,218,245,251,6236,250
2021/8/31 14:30,4.34,2.9,214,248,252,6182,252
2021/8/31 14:35,4.34,2.9,208,249,252,6082,252
2021/8/31 14:40,4.34,2.9,214,253,255,6074,251
2021/8/31 14:45,4.34,2.9,212,254,253,5849,249
2021/8/31 14:50,4.34,2.9,205,252,252,5889,251
2021/8/31 14:55,4.34,2.9,208,249,250,5931,251
2021/8/31 15:00,4.34,2.9,213,253,254,5852,249
2021/8/31 15:05,4.34,2.9,204,250,251,6011,249
2021/8/31 15:10,4.34,2.9,209,247,249,6065,251
2021/8/31 15:15,4.34,2.9,208,246,248,6166,249
2021/8/31 15:20,4.34,2.9,195,245,241,6107,249
2021/8/31 15:25,4.34,2.9,168,227,205,7898,240
2021/8/31 15:30,4.34,2.9,177,230,212,7901,244
2021/8/31 15:35,4.34,2.9,174,228,211,7860,244
2021/8/31 15:40,4.34,2.9,174,232,213,7869,245
2021/8/31 15:45,4.34,2.9,167,232,210,7879,243
2021/8/31 15:50,4.34,2.9,172,226,209,7886,242
2021/8/31 15:55,4.34,2.9,173,222,207,8089,246
2021/8/31 16:00,4.34,2.9,173,220,206,8192,242
2021/8/31 16:05,4.34,2.9,170,218,207,8239,242
2021/8/31 16:10,4.34,2.9,167,219,205,8319,241
2021/8/31 16:15,4.34,2.9,164,219,203,8283,240
2021/8/31 16:20,4.34,2.9,167,214,203,8266,240
2021/8/31 16:25,4.34,2.9,160,213,199,8359,237
2021/8/31 16:30,4.34,2.9,161,210,200,8302,237
2021/8/31 16:35,4.34,2.9,159,212,199,8403,240
2021/8/31 16:40,4.34,2.9,165,214,203,8398,242
2021/8/31 16:45,4.34,2.9,162,219,206,8349,244
2021/8/31 16:50,4.34,2.9,183,223,227,7472,250
2021/8/31 16:55,4.34,2.9,187,223,230,7280,250
2021/8/31 17:00,4.34,2.9,191,225,233,7273,250
2021/8/31 17:05,4.34,2.9,195,218,229,7297,249
2021/8/31 17:10,4.34,2.9,196,218,227,7508,250
2021/8/31 17:15,4.34,2.9,191,218,227,7504,249
2021/8/31 17:20,4.34,2.9,190,215,225,7695,249
2021/8/31 17:25,4.35,2.9,189,221,228,7693,250
2021/8/31 17:30,4.34,2.9,195,256,233,7616,250
2021/8/31 17:35,4.29,2.9,200,263,234,7264,250
2021/8/31 17:40,4.25,2.9,196,260,235,7234,250
2021/8/31 17:45,4.2,2.9,195,256,235,7151,250
2021/8/31 17:50,4.16,2.9,185,254,234,7173,249
2021/8/31 17:55,4.11,2.9,199,257,234,7313,251
2021/8/31 18:00,4.07,2.9,197,259,233,7310,250
2021/8/31 18:05,4.03,2.9,196,260,231,7332,250
2021/8/31 18:10,3.98,2.9,194,255,233,7428,251
2021/8/31 18:15,3.94,2.9,190,256,229,7421,252
2021/8/31 18:20,3.89,2.9,187,257,231,7444,249
2021/8/31 18:25,3.85,2.9,185,229,227,7380,248
2021/8/31 18:30,3.82,2.9,188,260,229,7661,251
2021/8/31 18:35,3.77,2.9,183,253,223,7494,250
2021/8/31 18:40,3.73,2.9,182,252,224,7727,250
2021/8/31 18:45,3.69,2.9,178,251,222,7651,250
2021/8/31 18:50,3.64,2.9,186,252,225,7712,249
2021/8/31 18:55,3.6,2.9,187,251,224,7688,251
2021/8/31 19:00,3.55,2.9,182,253,225,7725,249
2021/8/31 19:05,3.51,2.9,180,254,224,7755,252
2021/8/31 19:10,3.46,2.9,178,249,222,7778,250
2021/8/31 19:15,3.42,2.89,200,261,260,7925,250
2021/8/31 19:20,3.38,2.86,198,245,257,7453,249
2021/8/31 19:25,3.33,2.83,196,249,255,7557,250
2021/8/31 19:30,3.29,2.79,193,246,255,7538,250
2021/8/31 19:35,3.24,2.76,192,250,257,7572,251
2021/8/31 19:40,3.2,2.73,189,245,251,7567,250
2021/8/31 19:45,3.15,2.7,196,251,253,7728,250
2021/8/31 19:50,3.11,2.67,195,247,251,7731,250
2021/8/31 19:55,3.07,2.64,190,248,252,7667,250
2021/8/31 20:00,3.02,2.61,188,246,252,7691,250
2021/8/31 20:05,2.98,2.58,196,243,252,7774,250
2021/8/31 20:10,2.93,2.55,189,240,248,7806,250
2021/8/31 20:15,2.89,2.52,174,240,246,7994,249
2021/8/31 20:20,2.85,2.48,185,244,249,8034,251
2021/8/31 20:25,2.8,2.45,182,238,248,7900,249
2021/8/31 20:30,2.76,2.42,184,240,245,8012,249
2021/8/31 20:35,2.71,2.39,184,241,242,8049,246
2021/8/31 20:40,2.67,2.36,176,261,244,8002,249
2021/8/31 20:45,2.63,2.33,189,258,248,7948,249
2021/8/31 20:50,2.58,2.29,185,265,250,7785,249
2021/8/31 20:55,2.54,2.26,193,260,249,7732,249
2021/8/31 21:00,2.5,2.23,184,253,247,7830,250
2021/8/31 21:05,2.45,2.2,176,257,248,7850,251
2021/8/31 21:10,2.41,2.17,198,259,247,7877,250
2021/8/31 21:15,2.37,2.14,182,256,249,7845,249
2021/8/31 21:20,2.32,2.11,182,260,248,7741,250
2021/8/31 21:25,2.28,2.08,198,261,248,7887,251
2021/8/31 21:30,2.24,2.05,178,256,248,7895,250
2021/8/31 21:35,2.2,2.01,187,260,249,7840,248
2021/8/31 21:40,2.16,1.99,198,262,251,7820,249
2021/8/31 21:45,2.11,1.96,202,270,253,7626,251
