站点名称,站点ID,指令时间,复令时间,指令,,,,,,,,
新凤溪水库泵站,9402,2021/10/18  0:20:00,2021/10/18  0:20:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/18  5:10:00,2021/10/18  5:10:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/19  1:00:00,2021/10/19  1:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/19  5:00:00,2021/10/19  5:00:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/20  0:30:00,2021/10/20  0:30:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/20  5:30:00,2021/10/20  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/21  1:00:00,2021/10/21  1:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/21  5:30:00,2021/10/21  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/22  1:00:00,2021/10/22  1:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/22  5:30:00,2021/10/22  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/23  0:10:00,2021/10/23  0:10:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/23  5:30:00,2021/10/23  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/24  0:00:00,2021/10/24  0:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/24  6:00:00,2021/10/24  6:00:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/24  23:10:00,2021/10/24  23:10:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/25  5:10:00,2021/10/25  5:10:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/26  1:00:00,2021/10/26  1:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/26  5:30:00,2021/10/26  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/27  0:00:00,2021/10/27  0:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/27  5:30:00,2021/10/27  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/28  0:20:00,2021/10/28  0:20:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/28  5:30:00,2021/10/28  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/29  0:40:00,2021/10/29  0:40:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/29  5:20:00,2021/10/29  5:20:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/29  23:00:00,2021/10/29  23:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/30  5:10:00,2021/10/30  5:10:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/31  1:00:00,2021/10/31  1:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/10/31  5:30:00,2021/10/31  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/10/31  23:40:00,2021/10/31  23:40:00,进水,,,,,,,,
