,obs_val,pred_val,signal
2022-01-19 00:00:00,1.09,1.4992464447021485,0
2022-01-19 00:05:00,1.09,1.5022988891601563,0
2022-01-19 00:10:00,1.09,1.5043167877197265,0
2022-01-19 00:15:00,1.09,1.5073187255859375,0
2022-01-19 00:20:00,1.09,1.5118171691894533,0
2022-01-19 00:25:00,1.09,1.5198783111572267,0
2022-01-19 00:30:00,1.09,1.530633544921875,0
2022-01-19 00:35:00,1.09,1.5393317413330079,0
2022-01-19 00:40:00,1.09,1.54764892578125,0
2022-01-19 00:45:00,1.1,1.5586087799072266,0
2022-01-19 00:50:00,1.09,1.5774763488769532,-1
2022-01-19 00:55:00,1.09,1.6000865173339844,-1
2022-01-19 01:00:00,1.09,1.6232363891601562,-1
2022-01-19 01:05:00,1.13,1.645914077758789,-1
2022-01-19 01:10:00,1.17,1.6720567321777344,-1
2022-01-19 01:15:00,1.21,1.6991009521484375,-1
2022-01-19 01:20:00,1.26,1.7237467193603515,-1
2022-01-19 01:25:00,1.3,1.753560791015625,-1
2022-01-19 01:30:00,1.35,1.780933609008789,-1
2022-01-19 01:35:00,1.39,1.807399673461914,-1
2022-01-19 01:40:00,1.43,1.8376619720458984,-1
2022-01-19 01:45:00,1.48,1.8668965148925782,-1
2022-01-19 01:50:00,1.52,1.8951219940185546,-1
2022-01-19 01:55:00,1.56,1.9273999786376954,-1
2022-01-19 02:00:00,1.61,1.960414810180664,-1
2022-01-19 02:05:00,1.65,1.9922567749023437,-1
2022-01-19 02:10:00,1.7,2.0264978790283203,-1
2022-01-19 02:15:00,1.74,2.057549362182617,-1
2022-01-19 02:20:00,1.78,2.0930895233154296,-1
2022-01-19 02:25:00,1.82,2.1250340270996095,-1
2022-01-19 02:30:00,1.87,2.1574916076660156,-1
2022-01-19 02:35:00,1.91,2.1945223236083984,-1
2022-01-19 02:40:00,1.96,2.2340794372558594,-1
2022-01-19 02:45:00,2.0,2.269884033203125,-1
2022-01-19 02:50:00,2.04,2.3059825134277343,-1
2022-01-19 02:55:00,2.09,2.348536224365234,-1
2022-01-19 03:00:00,2.13,2.3849818420410154,-1
2022-01-19 03:05:00,2.18,2.426159210205078,-1
2022-01-19 03:10:00,2.22,2.4666685485839843,-1
2022-01-19 03:15:00,2.26,2.5031275939941406,-1
2022-01-19 03:20:00,2.31,2.541812591552734,-1
2022-01-19 03:25:00,2.35,2.5840455627441403,-1
2022-01-19 03:30:00,2.39,2.6196841430664057,-1
2022-01-19 03:35:00,2.44,2.659421691894531,-1
2022-01-19 03:40:00,2.48,2.696415100097656,-1
2022-01-19 03:45:00,2.52,2.7324890136718745,-1
2022-01-19 03:50:00,2.57,2.7700746154785154,-1
2022-01-19 03:55:00,2.61,2.8006571960449214,-1
2022-01-19 04:00:00,2.65,2.8388110351562497,-1
2022-01-19 04:05:00,2.7,2.8682606506347654,-1
2022-01-19 04:10:00,2.74,2.898874359130859,-1
2022-01-19 04:15:00,2.78,2.9341569519042965,-1
2022-01-19 04:20:00,2.83,2.963280639648437,-1
2022-01-19 04:25:00,2.87,2.9916520690917965,-1
2022-01-19 04:30:00,2.91,3.0189062499999997,-1
2022-01-19 04:35:00,2.95,3.0469447326660153,-1
2022-01-19 04:40:00,2.99,3.0743933105468746,-1
2022-01-19 04:45:00,3.04,3.1007797241210935,-1
2022-01-19 04:50:00,3.08,3.123284759521484,-1
2022-01-19 04:55:00,3.12,3.1480470275878902,-1
2022-01-19 05:00:00,3.16,3.1716545104980463,-1
2022-01-19 05:05:00,3.21,3.1919718933105465,-1
2022-01-19 05:10:00,3.25,3.2129179382324216,-1
2022-01-19 05:15:00,3.29,3.2318481445312495,-1
2022-01-19 05:20:00,3.33,3.24559341430664,0
2022-01-19 05:25:00,3.37,3.260970306396484,0
2022-01-19 05:30:00,3.42,3.274868774414062,0
2022-01-19 05:35:00,3.46,3.283360290527343,0
2022-01-19 05:40:00,3.5,3.290703735351562,0
2022-01-19 05:45:00,3.53,3.295392150878906,0
2022-01-19 05:50:00,3.53,3.2979483032226558,0
2022-01-19 05:55:00,3.53,3.2995521545410154,0
2022-01-19 06:00:00,3.53,3.300576782226562,0
2022-01-19 06:05:00,3.53,3.3015715026855466,0
2022-01-19 06:10:00,3.53,3.3025459289550776,0
2022-01-19 06:15:00,3.53,3.303515472412109,0
2022-01-19 06:20:00,3.53,3.3043762207031246,0
2022-01-19 06:25:00,3.53,3.3051266479492183,0
2022-01-19 06:30:00,3.53,3.3057948303222653,0
2022-01-19 06:35:00,3.53,3.3063888549804683,0
2022-01-19 06:40:00,3.53,3.306888732910156,0
2022-01-19 06:45:00,3.53,3.307278442382812,0
2022-01-19 06:50:00,3.53,3.307580108642578,0
2022-01-19 06:55:00,3.53,3.307835083007812,0
2022-01-19 07:00:00,3.53,3.3080595397949213,0
2022-01-19 07:05:00,3.53,3.3082554626464837,0
2022-01-19 07:10:00,3.53,3.3084321594238277,0
2022-01-19 07:15:00,3.53,3.3086044311523435,0
2022-01-19 07:20:00,3.53,3.3087442016601556,0
2022-01-19 07:25:00,3.53,3.308858795166015,0
2022-01-19 07:30:00,3.53,3.308953247070312,0
2022-01-19 07:35:00,3.53,3.307299346923828,0
2022-01-19 07:40:00,3.53,3.3042724609374994,0
2022-01-19 07:45:00,3.53,3.3011839294433587,0
2022-01-19 07:50:00,3.51,3.2980073547363276,0
2022-01-19 07:55:00,3.48,3.293741302490234,0
2022-01-19 08:00:00,3.45,3.287235260009765,0
2022-01-19 08:05:00,3.42,3.2794503784179683,0
2022-01-19 08:10:00,3.39,3.2715014648437495,0
2022-01-19 08:15:00,3.36,3.2622624206542965,0
2022-01-19 08:20:00,3.33,3.2516365051269527,0
2022-01-19 08:25:00,3.3,3.242001037597656,0
2022-01-19 08:30:00,3.27,3.2321810913085933,0
2022-01-19 08:35:00,3.24,3.2220492553710933,0
2022-01-19 08:40:00,3.21,3.211854553222656,0
2022-01-19 08:45:00,3.18,3.2014656066894527,0
2022-01-19 08:50:00,3.15,3.193529968261718,0
2022-01-19 08:55:00,3.12,3.1828036499023433,0
2022-01-19 09:00:00,3.09,3.1705725097656248,0
2022-01-19 09:05:00,3.06,3.1579981994628903,0
2022-01-19 09:10:00,3.03,3.1439216613769525,0
2022-01-19 09:15:00,3.0,3.1311672973632807,0
2022-01-19 09:20:00,2.97,3.112284240722656,1
2022-01-19 09:25:00,2.94,3.091468658447265,1
2022-01-19 09:30:00,2.91,3.070143890380859,1
2022-01-19 09:35:00,2.88,3.049650268554687,1
2022-01-19 09:40:00,2.85,3.0304016113281245,1
2022-01-19 09:45:00,2.82,3.0142224121093744,1
2022-01-19 09:50:00,2.8,2.9992985534667964,1
2022-01-19 09:55:00,2.77,2.9839372253417964,1
2022-01-19 10:00:00,2.77,2.973434600830078,1
2022-01-19 10:05:00,2.77,2.9611335754394528,1
2022-01-19 10:10:00,2.77,2.9466523742675776,1
2022-01-19 10:15:00,2.77,2.9338998413085933,1
2022-01-19 10:20:00,2.77,2.9249824523925776,1
2022-01-19 10:25:00,2.77,2.915925140380859,1
2022-01-19 10:30:00,2.77,2.9102697753906246,1
2022-01-19 10:35:00,2.77,2.9046047973632807,1
2022-01-19 10:40:00,2.77,2.8988764953613275,1
2022-01-19 10:45:00,2.77,2.893060150146484,1
2022-01-19 10:50:00,2.77,2.887211761474609,1
2022-01-19 10:55:00,2.77,2.8813305664062496,1
2022-01-19 11:00:00,2.77,2.8773921203613275,1
2022-01-19 11:05:00,2.77,2.8754093933105467,0
2022-01-19 11:10:00,2.77,2.8754061889648432,0
2022-01-19 11:15:00,2.77,2.875400695800781,0
2022-01-19 11:20:00,2.77,2.8753999328613276,0
2022-01-19 11:25:00,2.77,2.8754003906249994,0
2022-01-19 11:30:00,2.77,2.8753997802734372,0
2022-01-19 11:35:00,2.77,2.8753997802734372,0
2022-01-19 11:40:00,2.77,2.87539810180664,0
2022-01-19 11:45:00,2.77,2.8753974914550775,0
2022-01-19 11:50:00,2.77,2.875395202636718,0
2022-01-19 11:55:00,2.77,2.8753947448730464,0
2022-01-19 12:00:00,2.77,2.875395355224609,0
2022-01-19 12:05:00,2.77,2.875395050048828,0
2022-01-19 12:10:00,2.77,2.8753955078124998,0
2022-01-19 12:15:00,2.77,2.875395050048828,0
2022-01-19 12:20:00,2.77,2.87743423461914,0
2022-01-19 12:25:00,2.77,2.8774333190917964,0
2022-01-19 12:30:00,2.77,2.877432708740234,0
2022-01-19 12:35:00,2.77,2.877433471679687,0
2022-01-19 12:40:00,2.77,2.8774331665039057,0
2022-01-19 12:45:00,2.77,2.8774324035644527,0
2022-01-19 12:50:00,2.77,2.8774328613281246,0
2022-01-19 12:55:00,2.77,2.877432250976562,0
2022-01-19 13:00:00,2.77,2.877431488037109,0
2022-01-19 13:05:00,2.77,2.8774308776855464,0
2022-01-19 13:10:00,2.77,2.8774841308593744,0
2022-01-19 13:15:00,2.77,2.8775570678710936,0
2022-01-19 13:20:00,2.77,2.8776130676269527,0
2022-01-19 13:25:00,2.77,2.87761978149414,0
2022-01-19 13:30:00,2.77,2.8776681518554685,0
2022-01-19 13:35:00,2.77,2.8776908874511715,0
2022-01-19 13:40:00,2.77,2.8043957519531246,0
2022-01-19 13:45:00,2.77,2.8044079589843744,0
